                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache accesses               |   41528184 |   38232628 |   38254835 |   38251539 |   41548151 |   38232652 |   38254759 |   38251357 |   41528249 |   38232782 |   38254884 |   38251071 |   41547931 |   38232558 |   38254632 |   38251400
    num cache misses                 |     595120 |     569019 |     568977 |     576728 |     606253 |     569499 |     569506 |     577206 |     593730 |     569020 |     568992 |     576693 |     605638 |     569026 |     568969 |     576731
    miss rate                        |      1.43% |      1.49% |      1.49% |      1.51% |      1.46% |      1.49% |      1.49% |      1.51% |      1.43% |      1.49% |      1.49% |      1.51% |      1.46% |      1.49% |      1.49% |      1.51%
    mpki                             |       5.63 |       5.90 |       5.90 |       5.98 |       5.74 |       5.90 |       5.90 |       5.98 |       5.62 |       5.90 |       5.90 |       5.98 |       5.73 |       5.90 |       5.90 |       5.98
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2259881 |    1558175 |    1557421 |    1566662 |    2268122 |    1557739 |    1557123 |    1565365 |    2255493 |    1558160 |    1557438 |    1566609 |    2272074 |    1557381 |    1556615 |    1564960
    num cache misses                 |     160491 |      90274 |      90240 |     107693 |     135259 |      91747 |      91852 |      94832 |     127680 |      90261 |      90252 |     107647 |     134495 |      89251 |      89190 |      92156
    miss rate                        |      7.10% |      5.79% |      5.79% |      6.87% |      5.96% |      5.89% |      5.90% |      6.06% |      5.66% |      5.79% |      5.79% |      6.87% |      5.92% |      5.73% |      5.73% |      5.89%
    mpki                             |       1.52 |       0.94 |       0.94 |       1.12 |       1.28 |       0.95 |       0.95 |       0.98 |       1.21 |       0.94 |       0.94 |       1.12 |       1.27 |       0.92 |       0.92 |       0.95
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     567561 |     441227 |      65145 |      41670 |      32690 |      32956 |      37044 |      32717 |      78804 |      60321 |     429703 |       7013 |       2693 |       2809 |       2981 |       8128
  average dram access latency (ns)   |      32.22 |      28.59 |      38.27 |      34.76 |      26.05 |      25.94 |      25.44 |      25.66 |      38.38 |      37.40 |      28.34 |      23.92 |      25.25 |      25.08 |      25.11 |      24.25
  average dram queueing delay        |       8.79 |       5.16 |      14.84 |      11.34 |       2.62 |       2.51 |       2.01 |       2.23 |      14.95 |      13.97 |       4.91 |       0.50 |       1.82 |       1.65 |       1.68 |       0.82
  average dram bandwidth utilization |     18.00% |     14.00% |      2.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      2.00% |      1.00% |     14.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     126761 |      75472 |      75568 |      93109 |     104339 |      76731 |      78844 |      81314 |     101404 |      75939 |      76301 |      92829 |     102545 |      74682 |      77466 |      78648
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3485 |       4323 |       4203 |       2799 |       4124 |       5526 |       3457 |       3633 |       3690 |       3859 |       3479 |       3070 |       3554 |       5223 |       2416 |       3842
